fuente,id_aviso,tipo,titulo,barrio,barrio_corto,precio,moneda,ambientes,dormitorios,banos,metros_cubiertos,metros_totales,expensas_ars,antiguedad,usd_por_m2,url
argenprop,19480173,Departamento,DEPARTAMENTO EN VENTA DE 2 AMB EN NUÑEZ,"GUAYRA 2100, Nuñez, Capital Federal",Nuñez,130000.0,USD,,1.0,,155.0,,600000.0,10.0,838.7,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--19480173
argenprop,18958518,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"QUESADA  al 6000, Villa Urquiza, Capital Federal",Villa Urquiza,328000.0,USD,,,,374.0,374.0,,,877.0,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--18958518
argenprop,18871360,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"MANUELA PEDRAZA  al 4900, Villa Urquiza, Capital Federal",Villa Urquiza,295000.0,USD,,,,300.0,300.0,,,983.3,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--18871360
argenprop,19717141,Terreno,DOBLE FRENTE - Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"CAPDEVILA  al 3500, Villa Urquiza, Capital Federal",Villa Urquiza,880000.0,USD,,,,889.0,889.0,,,989.9,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--19717141
argenprop,18970385,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"NAHUEL HUAPI  al 4600, Villa Urquiza, Capital Federal",Villa Urquiza,345000.0,USD,,,,304.0,304.0,,,1134.9,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--18970385
argenprop,19697261,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"GALVAN al 3400, Villa Urquiza, Capital Federal",Villa Urquiza,360000.0,USD,,,,301.0,301.0,,,1196.0,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--19697261
argenprop,18855572,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"ANDONAEGUI  al 3300, Villa Urquiza, Capital Federal",Villa Urquiza,240000.0,USD,,,,195.0,195.0,,,1230.8,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--18855572
argenprop,19255522,Departamento,IMPEC! BALCÓN AL FRENTE C/ESPECTACULAR VISTA ABIERTA! Todo luz y sol! Terraza de uso exclusivo c/parrilla! Baul! ÚNICO! OPORT!,"Venezuela 4000, Almagro Sur, Almagro, Capital Federal",Almagro,105000.0,USD,,2.0,,85.0,,220000.0,40.0,1235.3,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-3-ambientes--19255522
argenprop,18543856,Departamento,VENTA 4 AMB CON PATIO Y PARRILLA SIN EXPENSAS,"Av. Corrientes 3300, Almagro, Capital Federal",Almagro,175000.0,USD,,3.0,,117.0,,,40.0,1495.7,https://www.argenprop.com/departamento-en-venta-en-almagro-4-ambientes--18543856
argenprop,19089440,Departamento,Departamento 4 ambientes zona Cid Campeador,"Rojas 1300, Villa Crespo, Capital Federal",Villa Crespo,99000.0,USD,,3.0,,65.0,,150000.0,60.0,1523.1,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-4-ambientes--19089440
argenprop,19711529,Departamento,EXCELENTE 2 AMBIENTES RECICLADO A NUEVO - BALVANERA,"Ecuador  al 600, Barrio Norte, Capital Federal",Barrio Norte,62000.0,USD,,1.0,,38.0,,130000.0,50.0,1631.6,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-2-ambientes--19711529
argenprop,19690658,Departamento,Duplex 3 Ambientes a Estrenar C/terraza Propia y Parrilla. Amenities.,"Belgrano 4022, Almagro, Capital Federal",Almagro,279000.0,USD,,2.0,,170.0,,165000.0,0.0,1641.2,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--19690658
argenprop,19449805,Departamento,Departamento tipo PH 1° piso por escalera 153m2 totales con patio y balcon Villa Crespo,"Humboldt al 500, Villa Crespo, Capital Federal",Villa Crespo,220000.0,USD,,3.0,,132.0,,60000.0,70.0,1666.7,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-4-ambientes--19449805
argenprop,19253913,Departamento,Departamento 2 ambientes. Edificio tipo torre,"Martín de Gainza 100, Caballito, Capital Federal",Caballito,51000.0,USD,,1.0,,30.0,,115000.0,50.0,1700.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19253913
argenprop,19541068,Departamento,Departamento 3 ambientes al frente en Caballito,"Rivadavia al 5600, Caballito, Capital Federal",Caballito,119000.0,USD,,2.0,,70.0,,130000.0,60.0,1700.0,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--19541068
argenprop,19737197,Departamento,Semipiso 4 ambientes baño y toilette. 7° piso muy luminoso,"Rio de janeiro 100, Piso 7, Caballito, Capital Federal",Caballito,128000.0,USD,,3.0,,75.0,,210000.0,60.0,1706.7,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--19737197
argenprop,14471336,Departamento,DOS AMBIENTES PB  FRENTE ENTRADA INDEPEND : APTO PROFESIONAL Actualmente Alquilado con Buena renta,"Humahuaca 4600, Piso pb, Almagro, Capital Federal",Almagro,89000.0,USD,,,1.0,52.0,,180000.0,,1711.5,https://www.argenprop.com/departamento-en-venta-en-almagro--14471336
argenprop,12110765,Departamento,IMPECABLE DÚPLEX ESTILO CASA! Muy luminoso! Todo a nuevo! Baulera! Cochera fija! Vigilancia! Apto profesional! ÚNICO! OPORT!,"Mexico 4200, Almagro Sur, Almagro, Capital Federal",Almagro,173000.0,USD,,2.0,,100.0,,430000.0,10.0,1730.0,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-3-ambientes--12110765
argenprop,19202905,Departamento,"Vista abierta + sol de mañana, 2mb Contrafrente","Belasutegui 500, Piso 4, Villa Crespo, Capital Federal",Villa Crespo,60900.0,USD,,1.0,,35.0,,180000.0,40.0,1740.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--19202905
argenprop,12113273,Departamento,IMPECABLE DÚPLEX ESTILO CASA! Muy luminoso! Todo a nuevo! Baulera! Cochera fija! Vigilancia! Apto profesional! ÚNICO! OPORT!,"México 4200, Caballito Sur, Caballito, Capital Federal",Caballito,175000.0,USD,,2.0,,100.0,,430000.0,11.0,1750.0,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-3-ambientes--12113273
argenprop,19340086,Departamento,"Departamento - Venta - Argentina, Capital Federal - Av. rivadavia 3984","Av. rivadavia 3900, Piso 1, Almagro, Capital Federal",Almagro,118000.0,USD,,1.0,,67.0,,126000.0,51.0,1761.2,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--19340086
argenprop,18177180,Departamento,Venta Departamento 3 ambientes en Caballito,"Venezuela al 4300, Caballito, Capital Federal",Caballito,115000.0,USD,,,1.0,65.0,,180000.0,50.0,1769.2,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--18177180
argenprop,19391564,Departamento,"Departamento - Venta - Argentina, Capital Federal - Malabia 2400","Malabia 2400, Palermo, Capital Federal",Palermo,169000.0,USD,,2.0,,95.0,,280000.0,60.0,1778.9,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19391564
argenprop,19633994,Departamento,Oportunidad a Refaccionar! Acogedor Dos Ambientes en el corazón de Almagro,"Yatay 700, Piso 6, Almagro, Capital Federal",Almagro,59300.0,USD,,1.0,,33.0,,70000.0,50.0,1797.0,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--19633994
argenprop,19467894,Departamento,Departamento de 5 ambientes más dependencia en venta en Caballito,"Av. Rivadavia al 6000, Caballito, Capital Federal",Caballito,214500.0,USD,,4.0,,119.0,,240000.0,40.0,1802.5,https://www.argenprop.com/departamento-en-venta-en-caballito-5-ambientes--19467894
argenprop,17928350,Departamento,"DEPARTAMENTO VENTA PISO COMPLETO 2 DORMITORIOS CON DEPENDENCIA - RECOLETA, CAPITAL FEDERAL","AV.CALLAO 1400, Recoleta, Capital Federal",Recoleta,370000.0,USD,,2.0,,205.0,,527000.0,70.0,1804.9,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--17928350
argenprop,19620512,Departamento,"DEPARTAMENTO 4 AMBIENTES CON BALCÓN, AMPLIOS Y LUMINOSOS- COCHERA PROPIA- PROPIEDAD DESOCUPADA- CABALLITO","Avenida Juan Bautista Alberdi 1600, Caballito, Capital Federal",Caballito,159900.0,USD,,3.0,,88.0,,270000.0,50.0,1817.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--19620512
argenprop,19222961,Departamento,VENTA DE DEPTO 2 AMB VILLA CRESPO,"Av. Corrientes 5800, Piso 6, Villa Crespo, Capital Federal",Villa Crespo,75000.0,USD,,1.0,,41.0,,135000.0,45.0,1829.3,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--19222961
argenprop,18607236,Departamento,Departamento en Colegiales,"Cordoba  al 6057, Colegiales, Capital Federal",Colegiales,139900.0,USD,,3.0,,76.0,,250000.0,30.0,1840.8,https://www.argenprop.com/departamento-en-venta-en-colegiales-4-ambientes--18607236
argenprop,18358775,Departamento,SEMIP C/DEP EN LAS HERAS AL 2600 - T/A NUEVO FRENTE BALCON COMEDOR DIARIO,"AV. LAS HERAS AL 2600 1°, Recoleta, Capital Federal",Recoleta,169500.0,USD,,2.0,,91.0,,236000.0,40.0,1862.6,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18358775
argenprop,19672269,Departamento,Mario Bravo 50 Departamento 3 Ambientes Venta Almagro,"Mario Bravo 51, Almagro, Capital Federal",Almagro,79000.0,USD,,2.0,,42.0,,117000.0,45.0,1881.0,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--19672269
argenprop,19578602,Departamento,DEPARTAMENTO VENTA RECOLETA CON PATIO,"AZCUENAGA 900, Recoleta, Capital Federal",Recoleta,130000.0,USD,,2.0,,68.0,,180000.0,40.0,1911.8,https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--19578602
argenprop,13636264,Departamento,TRES AMBIENTES AL FRENTE CON BALCON LUMINOSO,"J Salguero 100, Piso 5, Almagro, Capital Federal",Almagro,109000.0,USD,,2.0,,57.0,,135000.0,50.0,1912.3,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--13636264
argenprop,19164513,Terreno,PLANOS APROBADOS - Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"ROOSEVELT FRANKLIN D.  al 4800, Villa Urquiza, Capital Federal",Villa Urquiza,800000.0,USD,,,,417.0,417.0,,,1918.5,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--19164513
argenprop,18812116,Departamento,"Neuquen al 500 - Depto 4 amb. + dependenia en Cabalito, hermoso balcon aterrazado","Neuquen al 500, Caballito, Capital Federal",Caballito,230000.0,USD,,3.0,,119.0,,300000.0,0.0,1932.8,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18812116
argenprop,19278892,Departamento,3 ambientes en caballito en excelente estado - Todo reciclado a nuevo.,"SAN JOSE DE CALASANZ 200, Piso 4, Caballito, Capital Federal",Caballito,149000.0,USD,,2.0,,77.0,,149000.0,60.0,1935.1,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--19278892
argenprop,17580835,Departamento,Departamento en venta en Caballito ( Bogota al 800) 1 Amb.,"Bogota  al 800, Caballito, Capital Federal",Caballito,95000.0,USD,,,1.0,49.0,,80000.0,30.0,1938.8,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--17580835
argenprop,18870358,Terreno,Excelente Terreno en Villa Urquiza- Lideres en Terrenos,"ACHA, MARIANO, GRAL.  al 2100, Villa Urquiza, Capital Federal",Villa Urquiza,340000.0,USD,,,,175.0,175.0,,,1942.9,https://www.argenprop.com/terreno-en-venta-en-villa-urquiza--18870358
argenprop,19614513,Departamento,DEPARTAMENTO EN VENTA 4 AMBIENTES CON COCHERA Y BAULERA,"Hipolito Yrigoyen 3600, Almagro Sur, Almagro, Capital Federal",Almagro,210000.0,USD,,3.0,,108.0,,,30.0,1944.4,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-4-ambientes--19614513
argenprop,19600005,Departamento,VENTA de DEPARTAMENTO 2 AMBIENTES en ALMAGRO,"Avenida Corrientes 3734, Almagro, Capital Federal",Almagro,89000.0,USD,,1.0,,45.0,,120000.0,40.0,1977.8,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--19600005
argenprop,19643450,Departamento,Mucha Luz  >> Gran Potencial,"Cabrera 3000, Piso 7, Recoleta, Capital Federal",Recoleta,89900.0,USD,,2.0,,45.0,,180000.0,55.0,1997.8,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--19643450
argenprop,19090398,Departamento,Departamento en venta en Botanico ARAOZ AL 2400,"ARAOZ 2400, Piso 3, Botanico, Palermo, Capital Federal",Palermo,270000.0,USD,,3.0,,135.0,,500000.0,50.0,2000.0,https://www.argenprop.com/departamento-en-venta-en-botanico-4-ambientes--19090398
argenprop,18870006,Departamento,Hidalgo al 1000 Caballito 4 ambientes inmediaciones Av. Ángel Gallardo Cercanía Parque Centenario,"Hidalgo  al 1000, Caballito, Capital Federal",Caballito,139000.0,USD,,3.0,,69.0,,340000.0,40.0,2014.5,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18870006
argenprop,19524336,Departamento,Venta depto 3 amb + Escritorio y bauleraDepartamento en venta en Caballito Sur,"San José De Calasanz 400, Piso 1, Caballito Sur, Caballito, Capital Federal",Caballito,174900.0,USD,,2.0,,86.0,,280000.0,45.0,2033.7,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-3-ambientes--19524336
argenprop,17694165,Departamento,Departamento 3 ambientes + escritorio o 3° dorm. impecable,"Av. San Martín 1800, Villa Crespo, Capital Federal",Villa Crespo,96000.0,USD,,2.0,,47.0,,140000.0,40.0,2042.6,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-3-ambientes--17694165
argenprop,18309051,Departamento,Extraordinaria PB a/prof c/fte 3 amb patio bño toil cocina c/pequeño offic lav impec estado,"Ciudad De La Paz 2100, Piso PB, Belgrano, Capital Federal",Belgrano,129000.0,USD,,2.0,,63.0,,200000.0,40.0,2047.6,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--18309051
argenprop,18079191,Departamento,"ANTICIPO Y CUOTAS A CONVENIR, DTO. RECICLADO POSESION YA","Yerbal 676 , Piso 5, Caballito, Capital Federal",Caballito,127000.0,USD,,2.0,,62.0,,125000.0,40.0,2048.4,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--18079191
argenprop,18945975,Departamento,TIPO CASA S/EXP EN BEAUCHEF AL 800 - TODO A NUEVO ESPECT LIVING Y COMEDOR VESTIDOR,"BEAUCHEF al 800 PB, Caballito, Capital Federal",Caballito,185000.0,USD,,2.0,,90.0,,,70.0,2055.6,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--18945975
argenprop,19756829,Departamento,Le Breton 5000 Villa Urquiza 2 Amb.,"Tomás A. Le Bretón 5000, Villa Urquiza, Capital Federal",Villa Urquiza,69900.0,USD,,1.0,,34.0,,92000.0,45.0,2055.9,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--19756829
argenprop,18327768,Departamento,Departamento en Caballito,"Giordano Bruno al 815, Caballito, Capital Federal",Caballito,139900.0,USD,,3.0,,68.0,,134300.0,40.0,2057.4,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18327768
argenprop,19215284,Departamento,Av. La Plata 500 Departamento 2 Ambientes en Caballito VENTA,"Av. La Plata 500 Departamento Caballito, Caballito, Capital Federal",Caballito,118000.0,USD,,1.0,,57.0,,176000.0,52.0,2070.2,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19215284
argenprop,19742680,Departamento,"179,98 m2 venta depto 4 amb con dependencia estilo frances categoría Recoleta","Avenida Pueyrredón al 1200, Recoleta, Capital Federal",Recoleta,350000.0,USD,,3.0,,169.0,,307540.0,80.0,2071.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--19742680
argenprop,18103536,Departamento,2 amb muy bien ubicado ideal primera vivienda,"Senillosa 500, Piso 1, Caballito, Capital Federal",Caballito,85000.0,USD,,1.0,,41.0,,74300.0,70.0,2073.2,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--18103536
argenprop,18404768,Departamento,Departamento de tres ambiente en venta en Recoleta,"Laprida 900, Piso 4, Recoleta, Capital Federal",Recoleta,185000.0,USD,,2.0,,88.08,,187000.0,0.0,2100.4,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18404768
