fuente,id_aviso,tipo,titulo,barrio,barrio_corto,precio,moneda,ambientes,dormitorios,banos,metros_cubiertos,metros_totales,expensas_ars,antiguedad,usd_por_m2,url
argenprop,12113273,Departamento,IMPECABLE DÚPLEX ESTILO CASA! Muy luminoso! Todo a nuevo! Baulera! Cochera fija! Vigilancia! Apto profesional! ÚNICO! OPORT!,"México 4200, Caballito Sur, Caballito, Capital Federal",Caballito,175000.0,USD,,2.0,,100.0,,400000.0,11.0,1750.0,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-3-ambientes--12113273
argenprop,19620697,Departamento,DEPARTAMENTO SEMIPISO 4 AMBIENTES- AL FRENTE CON BALCÓN- COCHERA Y BAULERA- EXCELENTE LISTO PARA ESCRITURAR,"Avenida Directorio 600, Piso 9, Caballito, Capital Federal",Caballito,240000.0,USD,4.0,3.0,2.0,,,230000.0,,,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--19620697
argenprop,19620512,Departamento,"DEPARTAMENTO 4 AMBIENTES CON BALCÓN, AMPLIOS Y LUMINOSOS- COCHERA PROPIA- PROPIEDAD DESOCUPADA- CABALLITO","Avenida Juan Bautista Alberdi 1600, Caballito, Capital Federal",Caballito,159900.0,USD,,3.0,,88.0,,270000.0,50.0,1817.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--19620512
argenprop,19339863,Departamento,"Departamento - Venta - Argentina, Capital Federal - RIVADAVIA, AV. 5268","RIVADAVIA, AV. , Piso 9, Caballito, Capital Federal",Caballito,66000.0,USD,,1.0,,40.0,,145000.0,56.0,1650.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19339863
argenprop,19442521,Departamento,"Venta Departamento 2 ambientes en Caballito, Capital Federal .Piso entero en altura: privacidad real, luz natural y una forma distinta de vivir la ciudad","AV DIAZ VELEZ, Caballito, Capital Federal",Caballito,180000.0,USD,,1.0,,52.0,,200000.0,10.0,3461.5,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19442521
argenprop,19574435,Departamento,COQUETO DEPARTAMENTO EN AVENIDA SIN RUIDO Y CON VISTA A JARDÍN,"AVENIDA LAS HERAS 3700, Piso 4, Botanico, Palermo, Capital Federal",Palermo,109000.0,USD,,,1.0,36.0,,230000.0,15.0,3027.8,https://www.argenprop.com/departamento-en-venta-en-botanico-1-ambiente--19574435
argenprop,19602156,Departamento,"Venta 5 Amb Belgrano | Terraza, Amenities y 2 Cocheras","Balbin 2400, Piso 12, Belgrano R, Belgrano, Capital Federal",Belgrano,570000.0,USD,,4.0,,153.0,,1185000.0,20.0,3725.5,https://www.argenprop.com/departamento-en-venta-en-belgrano-r-5-ambientes--19602156
argenprop,19578723,Departamento,IMPECABLE MONOAMBIENTE! Balcón c/vista al pulmón! Muy luminoso! Amplio! BAJAS EXPENSAS! ÚNICO! OPORT,"Avenida Congreso 2600, Belgrano, Capital Federal",Belgrano,78000.0,USD,,,1.0,35.0,,120000.0,25.0,2228.6,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--19578723
argenprop,17633194,Departamento,"Departamento en venta 2 amplios  ambientes , muy buena vista , dueño directo","Jerónimo Salguero 1900, Piso 3, Botanico, Palermo, Capital Federal",Palermo,119000.0,USD,,1.0,,48.0,,153000.0,60.0,2479.2,https://www.argenprop.com/departamento-en-venta-en-botanico-2-ambientes--17633194
argenprop,18034339,Departamento,Excelente semipiso 4 amb con dependencia  cochera fija cubierta,"Avenida Gaona 1100, Caballito, Capital Federal",Caballito,248000.0,USD,,2.0,,118.0,,230000.0,30.0,2101.7,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18034339
argenprop,19559933,Departamento,IMPECABLE SEMIPISO! BALCÓN AL PULMÓN C/VISTA ABIERTA! Todo luz y sol! Dependencia! Baulera! ÚNICO! OPORT!,"Sánchez De Bustamante 2600, Recoleta, Capital Federal",Recoleta,250000.0,USD,,3.0,,90.0,,550000.0,40.0,2777.8,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--19559933
argenprop,19099271,Departamento,IMPECABLE PISO! BALCÓN CON VISTA A LA COPA DE LOS ÁRBOLES! Todo luz y sol! Baulera! BAJAS EXPENSAS! ÚNICO! OPORT,"José Andrés Pacheco De Melo 2600, Recoleta, Capital Federal",Recoleta,247000.0,USD,,3.0,,100.0,,250000.0,40.0,2470.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--19099271
argenprop,19452180,Departamento,Venta Departamento 3 Ambientes Patio Interno,"Peña 2200, Piso PB, Recoleta, Capital Federal",Recoleta,256000.0,USD,,2.0,3.0,100.0,,200000.0,,2560.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--19452180
argenprop,18380345,Departamento,Departamento de 3 ambientes con balcón terraza.,"Laprida  al 1700, Recoleta, Capital Federal",Recoleta,198000.0,USD,,2.0,,58.0,,256000.0,55.0,3413.8,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18380345
argenprop,18270400,Departamento,"BALCÓN CORRIDO 5TO. PISO AL FRENTE, COCHERA CUBIERTA, PALIER PRIVADO y CONSULTORIO u OFICINA  independiente","ARENALES 3100, Piso 5, Recoleta, Capital Federal",Recoleta,210000.0,USD,,3.0,1.0,93.0,,373000.0,,2258.1,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--18270400
argenprop,17301379,Departamento,Piso en venta en Belgrano,"Amenabar  al 2200, Belgrano, Capital Federal",Belgrano,370000.0,USD,,3.0,,136.0,,500000.0,33.0,2720.6,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--17301379
argenprop,18668115,Departamento,Departamento 4 ambientes en VENTA en BELGRANO - RETASADO,"11 de Septiembre de 1888  al 2100, Belgrano, Capital Federal",Belgrano,269000.0,USD,,3.0,,115.0,,690000.0,50.0,2339.1,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--18668115
argenprop,19596287,Departamento,Oportunidad única! Departamento de 3 ambientes en ubicación inmejorable,"Av Santa Fe 2800, Piso 8, Botanico, Palermo, Capital Federal",Palermo,108000.0,USD,,2.0,,45.0,,300000.0,40.0,2400.0,https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--19596287
argenprop,19601051,Departamento,Departamento en venta en Caballito,"Rojas 300, Piso 2, Caballito, Capital Federal",Caballito,109900.0,USD,,1.0,,50.0,,120000.0,0.0,2198.0,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--19601051
argenprop,19138681,Departamento,Departamento de 2 ambientes con balcon 38 metros totales - Recoleta - Excelente ubicacion,"Arenales  al 2200, Recoleta, Capital Federal",Recoleta,89000.0,USD,,1.0,,35.0,,200000.0,40.0,2542.9,https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--19138681
argenprop,19244168,Departamento,Hermoso 3 ambientes más dependencia  Posible 4 ambientes!,"Manuel Ugarte 1855 , Piso 2, Belgrano, Capital Federal",Belgrano,365000.0,USD,,3.0,,94.0,,480000.0,10.0,3883.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--19244168
